age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,incomegroup
4,Private,257555,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,214061,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,113481,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
1,Private,239648,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,0,2,Cambodia,<=50K
2,Private,117381,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,4,England,<=50K
2,Self-emp-not-inc,150371,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Self-emp-not-inc,429281,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,2,?,<=50K
3,Self-emp-inc,175339,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2,3,United-States,<=50K
2,Private,191503,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,182470,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
0,Private,163787,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,<=50K
3,Private,140782,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,4,0,United-States,>50K
3,Local-gov,186539,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Private,361742,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
4,Local-gov,61958,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,0,United-States,<=50K
0,Self-emp-not-inc,60828,Some-college,10,Never-married,Farming-fishing,Own-child,White,Female,0,0,3,United-States,<=50K
0,Private,32616,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K
3,Private,138270,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,2,United-States,<=50K
2,Private,171069,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,4,0,2,United-States,>50K
2,Private,28572,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,3,United-States,<=50K
0,Private,289909,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,170850,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,219632,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,309580,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,307267,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,186624,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,Cuba,<=50K
0,Private,57827,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,143175,Some-college,10,Widowed,Sales,Other-relative,White,Female,0,0,2,United-States,<=50K
0,Private,437994,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,0,United-States,<=50K
1,Private,73928,10th,6,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,0,United-States,<=50K
0,Private,256628,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K
3,Private,141944,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,>50K
0,Private,311478,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,2,United-States,<=50K
2,Private,77005,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,2,United-States,>50K
1,Private,209109,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,160035,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,176101,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,94744,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,0,United-States,<=50K
2,Private,107682,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,>50K
2,Private,24982,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
0,Private,401762,11th,7,Never-married,Craft-repair,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,?,194809,Bachelors,13,Never-married,?,Own-child,White,Female,0,0,3,United-States,<=50K
0,Private,460356,12th,8,Never-married,Other-service,Not-in-family,White,Male,0,0,1,Mexico,<=50K
1,Private,130540,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,1,2,United-States,>50K
1,Private,219318,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,1,Puerto-Rico,<=50K
0,Private,243190,Assoc-acdm,12,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Male,3,0,2,United-States,>50K
3,Private,345006,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,Mexico,<=50K
3,Private,136080,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,3,United-States,<=50K
3,Local-gov,293104,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,208358,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,>50K
1,Private,217235,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,133696,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,3,0,2,United-States,>50K
1,Private,259609,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,3,United-States,<=50K
2,Private,276165,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,30828,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Local-gov,343447,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,?,147989,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,1,United-States,<=50K
4,Private,161662,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,170730,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,594187,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,101593,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2,2,United-States,<=50K
0,Private,60639,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
1,Private,328199,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,143003,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2,3,India,>50K
1,Private,303954,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,136986,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
0,State-gov,120041,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Private,244554,10th,6,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,32426,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
0,Private,265148,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,2,Jamaica,<=50K
4,Private,138157,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,State-gov,352628,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,144401,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,2,Philippines,>50K
0,Private,80616,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K
0,Private,169323,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,34443,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,1,United-States,<=50K
2,Private,139277,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,0,0,2,Italy,<=50K
4,Private,207116,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,102202,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,3,United-States,<=50K
1,Private,164190,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,?,<=50K
2,Private,59107,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,2,0,2,United-States,<=50K
2,Private,83471,HS-grad,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,0,United-States,<=50K
0,Private,309098,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Self-emp-inc,84324,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,87402,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,203233,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
4,Private,322691,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
0,?,34161,12th,8,Separated,?,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Local-gov,230885,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
2,Private,193626,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,3,United-States,<=50K
3,Private,126754,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,2,United-States,>50K
1,Private,289991,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,3,United-States,<=50K
2,Local-gov,327120,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K
1,Self-emp-inc,164190,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,4,2,United-States,<=50K
0,?,55492,Assoc-voc,11,Never-married,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,1,United-States,<=50K
1,Private,183778,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,117381,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,135566,HS-grad,9,Widowed,Sales,Unmarried,White,Female,1,0,0,United-States,<=50K
4,Self-emp-not-inc,100606,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,216730,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
3,Self-emp-inc,220786,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,226196,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
2,State-gov,27661,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,341797,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,27162,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
2,Private,233130,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
3,Federal-gov,39606,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,England,>50K
3,Private,142828,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,2,United-States,>50K
4,Self-emp-inc,191540,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
0,Private,104830,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
2,Local-gov,282461,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
3,Self-emp-not-inc,249585,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,<=50K
3,Private,230858,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,3,United-States,>50K
1,Private,237824,HS-grad,9,Married-spouse-absent,Priv-house-serv,Other-relative,Black,Female,0,0,3,Jamaica,<=50K
2,Self-emp-not-inc,179896,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0,2,United-States,<=50K
1,Private,104834,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
1,Private,84366,10th,6,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
4,Private,111169,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,?,210095,5th-6th,3,Never-married,?,Unmarried,White,Female,0,0,1,El-Salvador,<=50K
3,Private,219021,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,4,0,2,United-States,>50K
2,Local-gov,365430,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,>50K
0,Private,203139,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,2,United-States,<=50K
4,?,142171,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,1,0,1,United-States,<=50K
3,Private,195727,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-inc,186359,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3,0,3,United-States,>50K
3,Self-emp-inc,213140,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,<=50K
1,Private,189620,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,2,Poland,<=50K
1,Private,107812,Bachelors,13,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,2,United-States,>50K
0,Self-emp-not-inc,174391,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
4,Private,266119,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,242859,Some-college,10,Separated,Adm-clerical,Own-child,White,Male,0,0,2,Cuba,<=50K
2,Private,45156,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
4,?,353871,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,54861,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Private,332355,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,284703,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,2,United-States,<=50K
1,Private,236396,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,183284,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
4,Private,113440,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,225724,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,1,United-States,<=50K
3,Private,185041,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2,3,United-States,<=50K
4,Private,387669,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,204742,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
3,Private,156877,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,>50K
3,Local-gov,169182,9th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,2,Cuba,<=50K
1,?,61387,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,0,United-States,<=50K
4,?,191288,7th-8th,4,Widowed,?,Not-in-family,White,Female,0,0,0,United-States,<=50K
0,Private,274657,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,3,Guatemala,<=50K
2,Private,431245,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,216164,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,144238,11th,7,Never-married,Farming-fishing,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,179137,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,124569,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
1,Private,340940,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,3,United-States,>50K
0,Private,121789,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,?,51216,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,0,United-States,<=50K
3,Private,132145,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
0,?,199609,Some-college,10,Never-married,?,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,359327,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,?,<=50K
0,Private,312353,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,<=50K
1,Private,168854,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,1,2,United-States,<=50K
1,Private,164170,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,0,Philippines,<=50K
3,Federal-gov,293196,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
2,Private,179135,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,139364,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,44006,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,137653,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
1,Private,339482,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
4,Private,329059,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Italy,>50K
2,Private,230467,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,2,Germany,<=50K
3,Local-gov,226497,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,3,United-States,>50K
0,Local-gov,203408,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,93394,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,<=50K
2,Self-emp-not-inc,187693,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,>50K
0,Private,165804,Some-college,10,Never-married,Adm-clerical,Own-child,Other,Female,0,0,2,United-States,<=50K
4,Private,279340,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Private,83492,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,69887,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,3,United-States,>50K
0,Private,194561,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,119793,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Portugal,>50K
2,Private,102308,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
4,?,166253,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,0,United-States,<=50K
3,Private,38795,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,>50K
1,Private,164197,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
1,Private,268051,Some-college,10,Married-civ-spouse,Protective-serv,Other-relative,Black,Female,0,0,1,Haiti,<=50K
2,Private,293305,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2,2,United-States,>50K
3,Private,168556,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,250541,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,<=50K
0,Private,67222,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,2,China,<=50K
2,Private,174491,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,United-States,<=50K
4,Local-gov,180079,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,2,United-States,<=50K
4,Private,192515,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Female,0,0,2,United-States,<=50K
